Regions Code,Regions,Gender identity (4 categories) Code,Gender identity (4 categories),Ethnic group (8 categories) Code,Ethnic group (8 categories),Observation
E12000003,Yorkshire and The Humber,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Mixed or Multiple ethnic groups,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,"White: English, Welsh, Scottish, Northern Irish or British",0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,White: Irish,0
E12000003,Yorkshire and The Humber,-8,Does not apply,6,"White: Gypsy or Irish Traveller, Roma or Other White",0
E12000003,Yorkshire and The Humber,-8,Does not apply,7,Other ethnic group,0
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,-8,Does not apply,0
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,1,"Asian, Asian British or Asian Welsh",312278
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",77012
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,3,Mixed or Multiple ethnic groups,58110
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",3496197
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,5,White: Irish,22480
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",161366
E12000003,Yorkshire and The Humber,1,Gender identity the same as sex registered at birth,7,Other ethnic group,49576
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,-8,Does not apply,0
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,1,"Asian, Asian British or Asian Welsh",3290
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",2010
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,3,Mixed or Multiple ethnic groups,819
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",13014
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,5,White: Irish,170
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",2845
E12000003,Yorkshire and The Humber,2,Gender identity different from sex registered at birth,7,Other ethnic group,1827
E12000003,Yorkshire and The Humber,3,Not answered,-8,Does not apply,0
E12000003,Yorkshire and The Humber,3,Not answered,1,"Asian, Asian British or Asian Welsh",37746
E12000003,Yorkshire and The Humber,3,Not answered,2,"Black, Black British, Black Welsh, Caribbean or African",7032
